Week,Away,Home
1,NO,ARI
1,LV,BAL
1,LAR,CAR
1,NE,CLE
1,CHI,DAL
1,CIN,DEN
1,PIT,DET
1,ATL,GB
1,KC,IND
1,MIN,LAC
1,JAX,MIA
1,HOU,NYJ
1,SF,PHI
1,WFT,SEA
1,NYG,TB
1,BUF,TEN
2,PHI,ATL
2,SEA,BUF
2,BAL,CHI
2,NYJ,CIN
2,CAR,HOU
2,TEN,JAX
2,CLE,KC
2,MIA,LAR
2,DET,LV
2,TB,MIN
2,LAC,NE
2,IND,NO
2,ARI,NYG
2,DEN,PIT
2,GB,SF
2,DAL,WFT
3,ARI,CAR
3,DET,CHI
3,DAL,CIN
3,KC,DEN
3,WFT,GB
3,HOU,IND
3,NYJ,JAX
3,BAL,LAC
3,BUF,MIA
3,CLE,MIN
3,TEN,NE
3,SF,NO
3,LV,NYG
3,PHI,PIT
3,LAR,SEA
3,ATL,TB
4,LAR,ARI
4,HOU,ATL
4,PIT,BAL
4,NE,BUF
4,DEN,CLE
4,NYG,DAL
4,SEA,DET
4,CHI,GB
4,CIN,LAC
4,KC,LV
4,MIA,NYJ
4,MIN,PHI
4,CAR,SF
4,JAX,TB
4,IND,TEN
4,NO,WFT
5,TB,CAR
5,PHI,CHI
5,CLE,CIN
5,LV,DAL
5,LAC,DEN
5,GB,DET
5,TEN,HOU
5,ATL,IND
5,NO,JAX
5,NYG,KC
5,SF,LAR
5,PIT,MIA
5,ARI,NE
5,SEA,NYJ
5,MIN,WFT
6,NYJ,ARI
6,BAL,CIN
6,CHI,CLE
6,BUF,HOU
6,JAX,IND
6,GB,KC
6,ATL,LAR
6,WFT,LV
6,SF,MIA
6,DET,MIN
6,TB,NO
6,DAL,PHI
6,LAC,PIT
6,NE,SEA
6,CAR,TEN
7,CAR,ATL
7,BAL,BUF
7,CIN,CHI
7,PIT,CLE
7,DAL,DEN
7,MIN,GB
7,LAR,JAX
7,PHI,LAC
7,WFT,NYG
7,NE,NYJ
7,MIA,SEA
7,ARI,SF
7,HOU,TB
7,LV,TEN
8,SEA,ARI
8,DET,BAL
8,JAX,BUF
8,IND,CAR
8,MIN,CIN
8,LAC,DAL
8,CHI,DEN
8,NYG,GB
8,PIT,LV
8,HOU,MIA
8,ATL,NO
8,NYJ,SF
8,LAR,TB
8,KC,WFT
9,CIN,BAL
9,DET,CLE
9,NO,HOU
9,MIA,IND
9,LV,KC
9,DEN,LAC
9,ARI,LAR
9,DAL,MIN
9,BUF,NE
9,PHI,NYG
9,CAR,NYJ
9,GB,PIT
9,SEA,SF
9,TB,TEN
10,TEN,ATL
10,KC,BAL
10,IND,BUF
10,NO,CAR
10,LAR,CHI
10,GB,CIN
10,DAL,DET
10,ARI,HOU
10,NE,JAX
10,LV,LAC
10,NYJ,MIA
10,DEN,NYG
10,WFT,PHI
10,CLE,PIT
11,TB,ARI
11,SF,BUF
11,NYG,CLE
11,BAL,DEN
11,IND,JAX
11,LAC,KC
11,PHI,LV
11,CHI,MIN
11,MIA,NE
11,TEN,NO
11,LAR,NYJ
11,CIN,PIT
11,ATL,SEA
11,DET,WFT
12,NO,ATL
12,BAL,CLE
12,WFT,DEN
12,MIN,DET
12,JAX,HOU
12,NYJ,IND
12,DAL,KC
12,BUF,LAR
12,ARI,MIA
12,CHI,NYG
12,GB,PHI
12,NE,SF
12,CAR,TB
12,SEA,TEN
13,MIN,BAL
13,NO,BUF
13,WFT,CHI
13,KC,CIN
13,CAR,DAL
13,PHI,DET
13,CLE,GB
13,ATL,JAX
13,NYG,LAC
13,DEN,LV
13,TB,NE
13,IND,PIT
13,SF,SEA
13,HOU,TEN
14,ARI,ATL
14,TEN,BAL
14,NYJ,BUF
14,JAX,CAR
14,GB,CHI
14,LV,CIN
14,CLE,HOU
14,MIA,KC
14,DAL,LAR
14,PIT,MIN
14,IND,NE
14,SEA,NO
14,DET,NYG
14,DEN,PHI
14,TB,SF
14,LAC,WFT
15,MIN,ARI
15,CHI,CAR
15,LAC,CLE
15,PHI,DAL
15,JAX,DEN
15,CIN,DET
15,BAL,GB
15,NE,HOU
15,SF,IND
15,PIT,KC
15,NO,LAR
15,BUF,LV
15,ATL,MIA
15,TEN,NYJ
15,SEA,TB
15,NYG,WFT
16,BUF,ARI
16,SF,ATL
16,WFT,BAL
16,GB,DAL
16,TB,IND
16,CIN,JAX
16,HOU,LAC
16,CLE,LV
16,NYG,MIN
16,LAR,NE
16,DET,NO
16,DEN,NYJ
16,KC,PHI
16,CHI,PIT
16,CAR,SEA
16,MIA,TEN
17,CLE,BAL
17,MIA,BUF
17,ATL,CAR
17,MIN,CHI
17,PIT,CIN
17,LV,DEN
17,DET,GB
17,IND,HOU
17,KC,LAC
17,NYJ,NE
17,DAL,NYG
17,ARI,SEA
17,LAR,SF
17,NO,TB
17,JAX,TEN
17,PHI,WFT
18,SF,ARI
18,TB,ATL
18,CIN,CLE
18,WFT,DAL
18,CHI,DET
18,TEN,IND
18,HOU,JAX
18,DEN,KC
18,SEA,LAR
18,LAC,LV
18,NE,MIA
18,GB,MIN
18,CAR,NO
18,BUF,NYJ
18,NYG,PHI
18,BAL,PIT
